time,open,high,low,close,volume,count
1697022900,25724.6,25747.9,25685.0,25689.9,12.14354548,282
1697023800,25690.1,25700.9,25670.0,25678.9,7.45521802,238
1697024700,25678.9,25678.9,25638.2,25647.9,46.63704171,252
1697025600,25650.7,25717.9,25646.1,25693.0,8.70495294,207
1697026500,25693.0,25693.1,25642.4,25668.1,31.52550591,365
1697027400,25671.6,25683.4,25532.0,25598.9,80.21212279,560
1697028300,25596.8,25626.4,25570.3,25609.6,12.59193403,361
1697029200,25609.6,25621.8,25570.4,25576.0,8.67610154,252
1697030100,25576.0,25589.8,25531.0,25550.3,7.63980123,312
1697031000,25557.2,25575.4,25523.8,25543.9,16.21489828,319
1697031900,25543.9,25553.7,25524.1,25548.8,20.46932126,239
1697032800,25548.5,25559.1,25505.5,25515.2,16.35700259,276
1697033700,25515.2,25544.8,25466.7,25466.7,32.29933418,410
1697034600,25466.7,25495.6,25461.7,25482.4,21.21386775,272
1697035500,25482.3,25512.2,25476.0,25500.5,12.32379448,283
1697036400,25500.6,25513.5,25492.0,25492.7,6.72482854,227
1697037300,25492.2,25492.2,25227.5,25283.1,38.70901335,864
1697038200,25277.0,25326.4,25213.0,25240.7,28.09437488,489
1697039100,25239.7,25288.2,25216.0,25243.3,11.49333816,362
1697040000,25243.3,25254.0,25115.0,25213.8,30.76090802,613
1697040900,25213.9,25213.9,25140.1,25179.1,9.33472345,416
1697041800,25179.1,25211.8,25160.8,25172.9,10.00856127,299
1697042700,25172.9,25196.3,25122.0,25153.3,28.20585081,356
1697043600,25153.3,25156.6,25100.0,25134.3,17.82179799,413
1697044500,25134.4,25193.0,25102.6,25171.1,2.98094315,282
1697045400,25171.1,25179.6,25131.7,25132.5,9.13464234,303
1697046300,25132.5,25153.6,25075.2,25136.1,37.69906328,389
1697047200,25139.8,25178.2,25093.6,25155.7,16.95579758,298
1697048100,25156.0,25171.1,25136.3,25137.1,8.1078766,239
1697049000,25137.1,25168.0,25102.6,25109.5,5.16342922,214
1697049900,25113.9,25174.9,25088.1,25161.2,37.37400599,282
1697050800,25161.2,25194.9,25145.9,25194.9,4.33826873,234
1697051700,25193.7,25209.2,25160.4,25170.0,5.26128869,212
